corp,size,num_fund,old_num_fund,size_rate,mon_profit,three_profit,six_profit,year_profit
万家基金,1450.7399999999996,163,126.0,0.8225181631443265,-0.006450797853494015,0.011297768774884693,0.014540488487101554,0.026869091183602787
上投摩根基金,1035.29,113,88.0,0.800587275063026,-0.016432388535191796,0.006433117630712154,0.0010907176462966325,0.014125946893845399
上海光大证券资产管理,150.10999999999999,35,26.0,0.7971487575777765,-0.022982963258648865,-0.009914327972306004,-0.0423235029919505,-0.02844414853680017
上海国泰君安资管,229.07999999999996,20,7.0,0.6981840405098657,-0.018241580556379148,0.011111135246806767,-0.03487790942313144,-0.027871015754771886
上海海通证券资产管理,21.060000000000002,26,3.0,0.3789173789173789,-0.01590430335962709,-0.001592942101481705,-0.11626133348530043,-0.09648775776922759
上银基金,635.4800000000001,48,27.0,0.8531975829294389,-0.007441295526874048,0.004227430651800807,0.006044085202096988,0.007361218410333141
东兴基金管理,42.11000000000001,28,19.0,0.7283305628116837,-0.016284211632979252,0.007479116492536703,-0.00341126485651073,-0.024909660749663175
东吴基金,171.56000000000006,49,28.0,0.44229424108183707,-0.022654582022749895,0.019096653255410316,0.0023801228702238003,-0.016040280823139363
东吴证券,2.2800000000000002,8,0.0,,,,,
东方基金,611.7199999999999,86,72.0,0.9209605701955146,-0.008847918913064337,0.004754382475403575,0.003530633233916976,0.0064353209626399335
东方红资产管理,2460.130000000001,116,76.0,0.8229321214732551,-0.007134992966745616,0.005144051269674261,-0.01904386635201265,-0.02235923023138266
东方阿尔法基金,131.75,10,6.0,0.7102087286527514,-0.033824762634378745,0.023404752045903563,0.0815903146018455,0.0540540313476865
东海基金,91.24000000000001,15,12.0,0.1696624287593161,-0.012155470658902462,0.015210229100057494,-0.007566780821041517,-0.02337089736341116
东海证券,2.6900000000000004,13,0.0,,,,,
东莞证券,2.04,1,0.0,,,,,
东证融汇证券资产管理,0.0,6,0.0,,,,,
东财基金,50.91999999999998,43,16.0,0.42890809112333095,-0.03052655520404127,0.017883422251520252,-0.03649076442153961,0.003880963626981362
中信保诚基金,1299.2199999999998,126,104.0,0.8737627191699633,-0.0056951171010549174,0.0066683791073584905,0.012755677199141667,0.02489769453169525
中信建投基金,270.62000000000006,60,39.0,0.7083733648658634,-0.01682050844493419,0.003961349504093375,0.011654666347635933,0.05228529320811258
中信建投证券,28.23,2,2.0,1.0,-0.03469644193898161,0.011390108986195411,-0.08530139034613898,-0.06719798163624759
中信证券,463.40999999999985,35,19.0,0.9116333268595846,-0.02188910183372063,0.011707162909338986,-0.02917457957973916,-0.049304255432868926
中加基金,1005.1800000000001,98,77.0,0.7936290017708272,-0.0029148235075122184,0.008085777228219293,0.006794449879625238,0.018252383273467853
中庚基金,249.23,5,3.0,0.5707579344380693,0.013254626988905163,-0.0174266497533084,0.10422382512874188,0.25635408689670286
中欧基金,4225.900000000002,214,157.0,0.8875647791003097,-0.014253080306271555,0.013929060286959312,-0.008706098603419735,0.006121119234114866
中泰证券(上海)资管,166.60000000000002,24,12.0,0.7674669867947178,0.0005563194086099964,0.0032467530377525556,0.014632962340311806,0.04013967882962193
中海基金,128.01,37,33.0,0.9560971799078197,-0.024525058333144716,0.008050012982541526,0.00992017888699174,0.01621165509670441
中科沃土基金,29.93,11,11.0,1.0,-0.0069009479568665774,0.004614900319066218,0.009465556836089371,0.04436224826405832
