index,基金代码,基金名称,申购费率,基金类型,基金风险,基金规模,成立日,基金经理,基金公司,投资股票,投资债券
0,000001-,华夏成长混合,0.15,混合型-偏股,中高风险,38.83亿元（2021-09-30）,1008604800,阳琨等,华夏基金,002821 000858 300759 603259 002241 000568 603486 600519 600690 300725,~
1,000003-,中海可转债债券A,0.08,债券型-可转债,中风险,1.05亿元（2021-09-30）,1363708800,章俊,中海基金,~,"1.113021,1.110059,1.113013,1.113011,0.127005"
2,000004-,中海可转债债券C,0.00,债券型-可转债,中风险,0.58亿元（2021-09-30）,1363708800,章俊,中海基金,~,"1.113021,1.110059,1.113013,1.113011,0.127005"
3,000005-,嘉实增强信用定期债券,0.08,债券型-长债,中低风险,0.70亿元（2021-09-30）,1362672000,刘宁,嘉实基金,600985 601222,1.132018
4,000006-,西部利得量化成长混合A,0.15,混合型-偏股,中高风险,21.21亿元（2021-09-30）,1552924800,盛丰衍,西部利得基金,300073 300390 601677 688200 688665 603198 688536 300573 002709 300327,~
5,000008-,嘉实中证500ETF联接A,0.12,指数型-股票,高风险,19.97亿元（2021-09-30）,1363881600,何如等,嘉实基金,002709 600089 000009 000799 002074 002340 300316 600460 600884 601868,~
6,000011-,华夏大盘精选混合A,0.15,混合型-偏股,中高风险,57.30亿元（2021-09-30）,1092153600,陈伟彦,华夏基金,600690 600754 601966 002179 601021 600309 600176 603806 002311 601877,~
7,000014-,华夏聚利债券,0.06,债券型-混合债,中风险,24.84亿元（2021-09-30）,1363622400,何家琪,华夏基金,600985 000932 603225 601899 002541 603806 002460,1.019649
8,000015-,华夏纯债债券A,0.08,债券型-长债,中低风险,37.17亿元（2021-09-30）,1362672000,柳万军,华夏基金,~,1.175977
9,000016-,华夏纯债债券C,0.00,债券型-长债,中低风险,4.53亿元（2021-09-30）,1362672000,柳万军,华夏基金,~,1.175977
10,000017-,财通可持续混合,0.15,混合型-偏股,中高风险,3.41亿元（2021-09-30）,1364313600,夏钦,财通基金,601888 603259 600519 300122 603456 600763 300059 300015 002493 300750,~
11,000020-,景顺长城品质投资混合,0.15,混合型-偏股,中高风险,16.28亿元（2021-09-30）,1363622400,詹成,景顺长城基金,300750 603259 300347 002049 002415 600519 601888 300014 300760 600809,"0.127038,1.110081,0.123119"
12,000021-,华夏优势增长混合,0.15,混合型-偏股,中高风险,71.07亿元（2021-09-30）,1164297600,郑晓辉,华夏基金,300750 300450 300782 002985 600703 603659 002832 603799 600893 603806,1.113047
13,000024-,大摩双利增强债券A,0.08,债券型-长债,中低风险,74.01亿元（2021-09-30）,1364227200,葛飞,摩根士丹利华鑫基金,~,~
14,000025-,大摩双利增强债券C,0.00,债券型-长债,中低风险,25.54亿元（2021-09-30）,1364227200,葛飞,摩根士丹利华鑫基金,~,~
